id,lgaId,name,code,wardNumber,createdAt
dd727348-7128-4ec8-9af1-697848274bdb,67c52cd5-0455-4900-8453-c1eb2685a980,A Lawant,BOR-MAR-W001,1,"""2025-11-12T19:27:14.872Z"""
c615edcc-382c-4bbd-b968-8b0a2a009149,67c52cd5-0455-4900-8453-c1eb2685a980,Ala,BOR-MAR-W002,2,"""2025-11-12T19:27:14.972Z"""
a0671b43-82cc-4531-b8ca-b9e540394584,67c52cd5-0455-4900-8453-c1eb2685a980,Badairi,BOR-MAR-W003,3,"""2025-11-12T19:27:15.065Z"""
42a3b163-10a2-41aa-a476-9e21c996362c,67c52cd5-0455-4900-8453-c1eb2685a980,Borsori,BOR-MAR-W004,4,"""2025-11-12T19:27:15.167Z"""
c12e0b24-efa9-44f8-b073-55487676c24d,67c52cd5-0455-4900-8453-c1eb2685a980,Gumna,BOR-MAR-W005,5,"""2025-11-12T19:27:15.261Z"""
829e28f1-b721-41ac-98f1-1badd1199fc1,67c52cd5-0455-4900-8453-c1eb2685a980,Kabulawa,BOR-MAR-W006,6,"""2025-11-12T19:27:15.352Z"""
23a1109a-c88e-4dde-aef6-ebc94dd3e4ab,67c52cd5-0455-4900-8453-c1eb2685a980,Kirenowa,BOR-MAR-W007,7,"""2025-11-12T19:27:15.442Z"""
f50a10c4-ee0b-4181-b4f5-dece074928fd,67c52cd5-0455-4900-8453-c1eb2685a980,Kulli,BOR-MAR-W008,8,"""2025-11-12T19:27:15.534Z"""
682af9b3-f85c-4053-92bd-d233b2695170,67c52cd5-0455-4900-8453-c1eb2685a980,Marte,BOR-MAR-W009,9,"""2025-11-12T19:27:15.627Z"""
057ef6bf-1c50-4d03-ae48-dfc9d64feddd,67c52cd5-0455-4900-8453-c1eb2685a980,Musune,BOR-MAR-W010,10,"""2025-11-12T19:27:15.721Z"""
60eda4b1-54be-4ec8-b803-cab2ee5c3ae5,67c52cd5-0455-4900-8453-c1eb2685a980,Muwalli,BOR-MAR-W011,11,"""2025-11-12T19:27:15.819Z"""
a6b86bc7-d5ad-41dd-9001-4b6a9c58036f,67c52cd5-0455-4900-8453-c1eb2685a980,Njine,BOR-MAR-W012,12,"""2025-11-12T19:27:15.909Z"""
0aed7fb2-e213-4dff-b169-ca89f4e329e6,67c52cd5-0455-4900-8453-c1eb2685a980,Zaga Ngalori,BOR-MAR-W013,13,"""2025-11-12T19:27:15.999Z"""
88654ab4-acf2-4faa-bc50-3a80626f2d59,5e4f4a8c-2dd6-4d67-8567-c4e94dfe4052,Abbaram,BOR-BAM-W001,1,"""2025-11-12T19:27:16.136Z"""
c1e4a992-265f-42a9-86e6-6f7bb39e0376,5e4f4a8c-2dd6-4d67-8567-c4e94dfe4052,Amchaka,BOR-BAM-W002,2,"""2025-11-12T19:27:16.226Z"""
ce955b17-4287-4d4a-b4a5-eade1e7a0e3e,5e4f4a8c-2dd6-4d67-8567-c4e94dfe4052,Andara,BOR-BAM-W003,3,"""2025-11-12T19:27:16.317Z"""
b1654b41-1cfa-4c1b-bfb3-cfcb3c0e8918,5e4f4a8c-2dd6-4d67-8567-c4e94dfe4052,Banki,BOR-BAM-W004,4,"""2025-11-12T19:27:16.408Z"""
